,frame_id,object_id,xmin,ymin,xmax,ymax,RWRefX,RWRefY
0,3.0,3,575.0,6.0,762.0,446.0,-0.311093270778656,0.763327956199646
1,3.0,2,698.0,20.0,894.0,543.0,-0.15514470636844635,1.0782933235168457
2,4.0,2,582.0,10.0,766.0,444.0,-0.31430870294570923,0.776914656162262
3,4.0,3,698.0,22.0,892.0,542.0,-0.15675242245197296,1.0758230686187744
4,5.0,3,584.0,11.0,766.0,443.0,-0.31591641902923584,0.779384970664978
5,5.0,2,698.0,22.0,892.0,541.0,-0.15836013853549957,1.0758230686187744
6,6.0,2,589.0,14.0,769.0,447.0,-0.3094855546951294,0.7892662882804871
7,6.0,3,697.0,24.0,890.0,542.0,-0.15675242245197296,1.072117567062378
8,7.0,3,600.0,12.0,781.0,453.0,-0.2998392581939697,0.8176749348640442
9,7.0,2,699.0,7.0,896.0,545.0,-0.15192927420139313,1.0819988250732422
10,8.0,2,612.0,15.0,788.0,452.0,-0.30144697427749634,0.8411428928375244
11,8.0,3,680.0,3.0,882.0,566.0,-0.1181672066450119,1.04123854637146
12,9.0,3,626.0,17.0,795.0,451.0,-0.30305469036102295,0.8670812249183655
13,9.0,2,675.0,1.0,876.0,576.0,-0.10209003835916519,1.0276519060134888
14,9.0,1,634.0,0.0,693.0,246.0,-0.6326366662979126,0.7509763240814209
15,10.0,2,634.0,16.0,798.0,454.0,-0.2982315123081207,0.8806679844856262
16,10.0,3,673.0,5.0,868.0,573.0,-0.10691318660974503,1.0153002738952637
17,10.0,1,632.0,0.0,692.0,247.0,-0.631028950214386,0.7472708821296692
18,11.0,3,639.0,17.0,797.0,456.0,-0.2950160801410675,0.8856086134910583
19,11.0,2,673.0,7.0,863.0,572.0,-0.10852090269327164,1.009124517440796
20,11.0,1,632.0,0.0,691.0,247.0,-0.631028950214386,0.7460356950759888
21,12.0,2,645.0,18.0,803.0,457.0,-0.2934083640575409,0.9004305005073547
22,12.0,3,671.0,2.0,862.0,580.0,-0.09565916657447815,1.0054190158843994
23,12.0,1,630.0,0.0,691.0,250.0,-0.6262058019638062,0.7435653805732727
24,13.0,3,675.0,11.0,853.0,558.0,-0.131028950214386,0.9992431998252869
25,13.0,2,626.0,0.0,689.0,255.0,-0.6181672215461731,0.7361544370651245
26,14.0,3,677.0,13.0,847.0,539.0,-0.1615755707025528,0.9943025708198547
27,14.0,2,621.0,0.0,687.0,258.0,-0.6133440732955933,0.7275083661079407
28,15.0,3,678.0,11.0,846.0,531.0,-0.17443731427192688,0.9943025708198547
29,15.0,2,616.0,0.0,684.0,260.0,-0.61012864112854,0.7176270484924316
30,16.0,3,680.0,11.0,845.0,526.0,-0.18247589468955994,0.9955376982688904
31,16.0,2,612.0,0.0,681.0,261.0,-0.6085209250450134,0.7089809775352478
32,17.0,3,680.0,11.0,846.0,524.0,-0.18569132685661316,0.9967728853225708
33,17.0,2,611.0,0.0,680.0,261.0,-0.6085209250450134,0.7065106630325317
34,18.0,3,676.0,12.0,844.0,521.0,-0.190514475107193,0.9893619418144226
35,18.0,2,609.0,0.0,680.0,259.0,-0.6117363572120667,0.7040403485298157
36,19.0,3,675.0,16.0,844.0,516.0,-0.19855307042598724,0.9881267547607422
37,19.0,2,607.0,0.0,679.0,258.0,-0.6133440732955933,0.7003348469734192
38,20.0,3,666.0,20.0,844.0,531.0,-0.17443731427192688,0.9770103693008423
39,20.0,2,600.0,0.0,674.0,258.0,-0.6133440732955933,0.6855129599571228
40,21.0,3,663.0,20.0,843.0,522.0,-0.18890675902366638,0.9720697402954102
41,21.0,2,595.0,0.0,672.0,259.0,-0.6117363572120667,0.6768668293952942
42,22.0,3,661.0,21.0,846.0,518.0,-0.19533762335777283,0.9733048677444458
43,22.0,2,587.0,0.0,668.0,258.0,-0.6133440732955933,0.6620449423789978
44,23.0,2,658.0,22.0,849.0,516.0,-0.19855307042598724,0.9733048677444458
45,23.0,3,583.0,0.0,668.0,258.0,-0.6133440732955933,0.6571043133735657
46,24.0,3,653.0,18.0,852.0,519.0,-0.19372990727424622,0.9708345532417297
47,24.0,2,580.0,0.0,668.0,258.0,-0.6133440732955933,0.6533988118171692
48,25.0,2,649.0,18.0,852.0,519.0,-0.19372990727424622,0.9658939242362976
49,25.0,3,578.0,0.0,669.0,258.0,-0.6133440732955933,0.6521636843681335
50,26.0,3,735.0,9.0,905.0,514.0,-0.20176850259304047,1.1375809907913208
51,26.0,2,645.0,20.0,856.0,535.0,-0.16800643503665924,0.9658939242362976
52,26.0,1,575.0,0.0,669.0,258.0,-0.6133440732955933,0.6484581828117371
53,27.0,2,739.0,10.0,902.0,515.0,-0.20016078650951385,1.1388161182403564
54,27.0,3,638.0,24.0,847.0,537.0,-0.16479100286960602,0.9461314082145691
55,27.0,1,572.0,0.0,670.0,260.0,-0.61012864112854,0.645987868309021
56,28.0,3,738.0,10.0,898.0,519.0,-0.19372990727424622,1.1326403617858887
57,28.0,2,630.0,27.0,836.0,536.0,-0.16639871895313263,0.9226633906364441
58,28.0,1,568.0,0.0,669.0,260.0,-0.61012864112854,0.6398121118545532
59,29.0,2,738.0,9.0,896.0,521.0,-0.190514475107193,1.1301699876785278
60,29.0,3,628.0,28.0,831.0,535.0,-0.16800643503665924,0.9140172600746155
61,29.0,1,566.0,0.0,669.0,260.0,-0.61012864112854,0.6373417973518372
62,30.0,3,744.0,13.0,897.0,518.0,-0.19533762335777283,1.1388161182403564
63,30.0,2,622.0,27.0,822.0,536.0,-0.16639871895313263,0.8954898715019226
64,30.0,1,564.0,0.0,668.0,259.0,-0.6117363572120667,0.6336362957954407
65,31.0,2,751.0,19.0,900.0,514.0,-0.20176850259304047,1.1511677503585815
66,31.0,3,619.0,28.0,816.0,536.0,-0.16639871895313263,0.8843734860420227
67,31.0,1,562.0,0.0,668.0,257.0,-0.6149517893791199,0.6311659812927246
68,32.0,3,767.0,35.0,905.0,492.0,-0.2371382713317871,1.1771060228347778
69,32.0,2,615.0,26.0,810.0,538.0,-0.1631832867860794,0.8720218539237976
70,32.0,1,560.0,0.0,668.0,258.0,-0.6133440732955933,0.6286956667900085
71,33.0,2,779.0,37.0,912.0,485.0,-0.24839229881763458,1.2005740404129028
72,33.0,3,607.0,20.0,802.0,542.0,-0.15675242245197296,0.8522593379020691
73,33.0,1,555.0,0.0,664.0,258.0,-0.6133440732955933,0.6175792217254639
74,34.0,3,794.0,41.0,923.0,482.0,-0.2532154619693756,1.2326881885528564
75,34.0,2,601.0,6.0,799.0,548.0,-0.1471061110496521,0.8411428928375244
76,34.0,1,548.0,0.0,655.0,256.0,-0.6165595054626465,0.5978167057037354
77,35.0,3,798.0,42.0,926.0,481.0,-0.2548231780529022,1.241334319114685
78,35.0,2,600.0,1.0,797.0,550.0,-0.14389067888259888,0.8374374508857727
79,35.0,1,546.0,0.0,652.0,256.0,-0.6165595054626465,0.5916408896446228
80,36.0,3,803.0,42.0,930.0,481.0,-0.2548231780529022,1.252450704574585
81,36.0,2,602.0,0.0,794.0,550.0,-0.14389067888259888,0.8362022638320923
82,36.0,1,538.0,0.0,638.0,251.0,-0.6245980858802795,0.5644674301147461
83,37.0,3,809.0,42.0,936.0,481.0,-0.2548231780529022,1.2672725915908813
84,37.0,2,604.0,0.0,791.0,554.0,-0.13745981454849243,0.8349671363830566
85,37.0,1,534.0,0.0,633.0,252.0,-0.6229903697967529,0.5533509850502014
86,38.0,3,814.0,45.0,942.0,485.0,-0.24839229881763458,1.280859351158142
87,38.0,2,607.0,6.0,788.0,554.0,-0.13745981454849243,0.8349671363830566
88,38.0,1,533.0,0.0,630.0,258.0,-0.6133440732955933,0.5484103560447693
89,39.0,3,823.0,41.0,959.0,494.0,-0.2339228391647339,1.3129734992980957
90,39.0,2,608.0,2.0,784.0,547.0,-0.1487138271331787,0.8312616348266602
91,39.0,1,531.0,0.0,625.0,257.0,-0.6149517893791199,0.5397642254829407
92,40.0,3,826.0,41.0,968.0,501.0,-0.2226688265800476,1.327795386314392
93,40.0,2,611.0,0.0,780.0,530.0,-0.1760450303554535,0.8300265073776245
94,40.0,1,525.0,0.0,618.0,259.0,-0.6117363572120667,0.5237072110176086
95,41.0,3,827.0,41.0,971.0,504.0,-0.21784566342830658,1.3327360153198242
96,41.0,2,613.0,0.0,779.0,525.0,-0.18408361077308655,0.8312616348266602
97,41.0,1,524.0,0.0,615.0,259.0,-0.6117363572120667,0.5187665820121765
98,42.0,3,825.0,41.0,976.0,515.0,-0.20016078650951385,1.3364415168762207
99,42.0,2,605.0,0.0,766.0,517.0,-0.19694535434246063,0.8053233027458191
100,42.0,1,520.0,0.0,610.0,260.0,-0.61012864112854,0.5076501369476318
101,43.0,3,827.0,47.0,980.0,520.0,-0.1921221911907196,1.3438524007797241
102,43.0,2,602.0,0.0,761.0,510.0,-0.2081993669271469,0.7954420447349548
103,43.0,1,515.0,0.0,605.0,262.0,-0.6069132089614868,0.4952985346317291
104,44.0,3,826.0,47.0,983.0,527.0,-0.18086817860603333,1.346322774887085
105,44.0,2,601.0,0.0,757.0,510.0,-0.2081993669271469,0.7892662882804871
106,44.0,1,511.0,0.0,600.0,258.0,-0.6133440732955933,0.48418211936950684
107,45.0,3,822.0,48.0,985.0,540.0,-0.15996785461902618,1.3438524007797241
108,45.0,2,599.0,0.0,756.0,516.0,-0.19855307042598724,0.7855607867240906
109,45.0,1,505.0,0.0,594.0,258.0,-0.6133440732955933,0.46936023235321045
110,46.0,3,820.0,49.0,988.0,554.0,-0.13745981454849243,1.3450875282287598
111,46.0,2,601.0,4.0,755.0,508.0,-0.21141479909420013,0.786795973777771
112,46.0,1,501.0,0.0,589.0,257.0,-0.6149517893791199,0.45824378728866577
113,47.0,3,819.0,49.0,989.0,559.0,-0.12942123413085938,1.3450875282287598
114,47.0,2,601.0,6.0,755.0,505.0,-0.21623794734477997,0.786795973777771
115,47.0,1,499.0,0.0,588.0,257.0,-0.6149517893791199,0.4545383155345917
116,48.0,3,818.0,48.0,991.0,565.0,-0.11977492272853851,1.346322774887085
117,48.0,2,604.0,13.0,752.0,487.0,-0.24517686665058136,0.786795973777771
118,48.0,1,487.0,0.0,581.0,259.0,-0.6117363572120667,0.4310702979564667
119,49.0,3,819.0,50.0,992.0,567.0,-0.11655949056148529,1.3487930297851562
120,49.0,2,604.0,18.0,750.0,481.0,-0.2548231780529022,0.7843255996704102
121,49.0,1,480.0,0.0,578.0,263.0,-0.6053054928779602,0.41871872544288635
122,50.0,3,821.0,51.0,995.0,567.0,-0.11655949056148529,1.354968786239624
123,50.0,2,599.0,11.0,746.0,475.0,-0.2644694745540619,0.7732092142105103
124,50.0,1,477.0,0.0,578.0,265.0,-0.602090060710907,0.41501325368881226
125,51.0,2,822.0,53.0,998.0,567.0,-0.11655949056148529,1.3599095344543457
126,51.0,3,591.0,5.0,742.0,467.0,-0.2773312032222748,0.7583873271942139
127,51.0,1,471.0,0.0,576.0,266.0,-0.6004823446273804,0.4051319658756256
128,52.0,3,828.0,55.0,1004.0,566.0,-0.1181672066450119,1.374731421470642
129,52.0,2,578.0,1.0,731.0,468.0,-0.27572348713874817,0.7287434935569763
130,52.0,1,468.0,0.0,577.0,270.0,-0.5940514802932739,0.40266165137290955
131,53.0,2,829.0,56.0,1007.0,566.0,-0.1181672066450119,1.3796720504760742
132,53.0,3,573.0,0.0,728.0,469.0,-0.27411577105522156,0.7188622355461121
133,53.0,1,467.0,0.0,578.0,271.0,-0.5924437642097473,0.40266165137290955
134,54.0,3,836.0,60.0,1014.0,564.0,-0.12138264626264572,1.396964192390442
135,54.0,2,568.0,5.0,723.0,469.0,-0.27411577105522156,0.7065106630325317
136,54.0,1,462.0,0.0,576.0,274.0,-0.5876206159591675,0.3940155506134033
137,55.0,2,843.0,61.0,1023.0,564.0,-0.12138264626264572,1.41672682762146
