frame_id,object_id,class,x,y,center,xmin,ymin,xmax,ymax
3,1,person,522.5,285.0,"(523, 285)",436,0,609,570
3,2,person,276.5,318.0,"(277, 318)",196,0,357,636
4,1,person,518.0,285.0,"(518, 285)",431,0,605,570
4,2,person,277.5,301.5,"(277, 301)",201,0,354,603
5,1,person,517.5,285.0,"(517, 285)",430,0,605,570
5,2,person,277.5,296.5,"(278, 296)",202,0,353,593
6,1,person,515.0,284.5,"(515, 284)",427,0,603,569
6,2,person,278.5,303.0,"(278, 303)",201,0,356,606
7,1,person,511.5,284.0,"(511, 284)",423,0,600,568
7,2,person,279.0,297.5,"(279, 297)",202,0,356,595
8,1,person,509.0,283.5,"(509, 283)",419,0,599,567
8,2,person,281.0,295.5,"(281, 295)",204,0,358,591
9,1,person,503.5,284.0,"(503, 284)",413,0,594,568
9,2,person,283.5,290.0,"(284, 290)",207,0,360,580
10,1,person,498.5,289.0,"(499, 289)",405,0,592,578
10,2,person,286.0,285.0,"(286, 285)",210,0,362,570
11,1,person,496.5,291.0,"(497, 291)",402,0,591,582
11,2,person,287.0,283.5,"(287, 284)",210,0,364,567
12,1,person,495.5,296.0,"(495, 296)",399,0,592,592
12,2,person,288.5,283.0,"(289, 283)",211,3,366,563
13,1,person,487.5,299.0,"(488, 299)",389,0,586,598
13,2,person,296.5,281.5,"(297, 281)",217,1,376,562
14,1,person,478.0,303.0,"(478, 303)",376,0,580,606
14,2,person,301.0,281.0,"(301, 281)",220,1,382,561
15,1,person,471.0,308.0,"(471, 308)",366,0,576,616
15,2,person,304.0,282.5,"(304, 282)",220,0,388,565
16,1,person,466.5,312.0,"(467, 312)",360,0,573,624
16,2,person,306.0,285.0,"(306, 285)",219,0,393,570
17,1,person,465.5,313.5,"(465, 313)",358,0,573,627
17,2,person,307.0,286.0,"(307, 286)",218,0,396,572
18,1,person,465.5,317.5,"(465, 318)",357,0,574,635
18,2,person,306.0,284.0,"(306, 284)",217,2,395,566
19,1,person,463.0,319.5,"(463, 319)",354,1,572,638
19,2,person,309.5,284.0,"(309, 284)",220,3,399,565
20,1,person,459.5,319.0,"(459, 319)",350,0,569,638
20,2,person,310.0,284.0,"(310, 284)",219,1,401,567
21,1,person,453.5,339.0,"(453, 339)",337,0,570,678
21,2,person,311.0,283.0,"(311, 283)",221,3,401,563
22,1,person,446.5,327.0,"(446, 327)",334,0,559,654
22,2,person,312.0,282.5,"(312, 282)",223,7,401,558
23,1,person,443.5,321.5,"(444, 321)",332,0,555,643
23,2,person,312.0,282.0,"(312, 282)",224,9,400,555
24,1,person,439.5,339.5,"(440, 339)",321,0,558,679
24,2,person,304.5,290.5,"(305, 290)",214,3,395,578
25,1,person,435.5,344.5,"(436, 344)",315,0,556,689
25,2,person,303.5,291.5,"(303, 291)",215,1,392,582
26,1,person,430.5,345.0,"(431, 345)",308,0,553,690
26,2,person,305.5,290.0,"(306, 290)",220,0,391,580
27,1,person,421.0,346.0,"(421, 346)",297,0,545,692
27,2,person,305.5,288.5,"(305, 289)",224,5,387,572
28,1,person,410.5,344.5,"(410, 344)",285,0,536,689
28,2,person,306.0,288.5,"(306, 289)",225,5,387,572
29,1,person,406.5,344.5,"(406, 344)",279,0,534,689
30,1,person,391.5,345.5,"(392, 345)",264,0,519,691
31,1,person,387.0,343.0,"(387, 343)",261,0,513,686
32,1,person,382.5,342.5,"(382, 342)",257,0,508,685
33,1,person,376.5,346.0,"(376, 346)",250,0,503,692
34,1,person,370.5,351.0,"(371, 351)",242,0,499,702
35,1,person,369.0,353.0,"(369, 353)",240,0,498,706
36,1,person,363.0,357.5,"(363, 358)",233,0,493,715
37,1,person,354.5,358.5,"(355, 359)",226,1,483,716
37,2,person,423.0,252.0,"(423, 252)",347,0,499,504
38,1,person,339.0,353.5,"(339, 353)",214,0,464,707
38,2,person,434.5,255.0,"(434, 255)",355,0,514,510
39,1,person,327.5,353.5,"(328, 353)",204,0,451,707
39,2,person,441.5,256.5,"(441, 256)",359,0,524,513
40,1,person,318.5,353.5,"(318, 354)",196,0,441,707
40,2,person,449.0,258.5,"(449, 258)",364,0,534,517
40,7,person,1023.0,235.5,"(1023, 236)",962,21,1084,450
41,1,person,315.0,354.0,"(315, 354)",193,0,437,708
41,2,person,450.5,259.5,"(451, 259)",363,0,538,519
41,7,person,1023.5,236.0,"(1024, 236)",963,21,1084,451
42,1,person,311.0,352.5,"(311, 353)",190,1,432,704
42,2,person,447.0,257.5,"(447, 257)",359,0,535,515
42,7,person,1023.0,235.0,"(1023, 235)",963,22,1083,448
43,1,person,310.0,353.5,"(310, 353)",188,1,432,706
43,2,person,450.0,254.5,"(450, 255)",362,0,538,509
43,7,person,1018.5,234.5,"(1018, 234)",959,25,1078,444
44,1,person,307.5,355.5,"(308, 355)",185,1,430,710
44,2,person,452.5,253.5,"(453, 254)",363,0,542,507
44,7,person,1013.5,235.0,"(1013, 235)",953,20,1074,450
45,1,person,310.0,354.0,"(310, 354)",188,3,432,705
45,2,person,456.0,253.5,"(456, 253)",365,0,547,507
45,7,person,1004.0,233.5,"(1004, 234)",944,21,1064,446
46,1,person,316.5,356.5,"(317, 357)",196,11,437,702
46,2,person,463.0,256.0,"(463, 256)",370,0,556,512
46,7,person,995.5,232.5,"(995, 233)",938,30,1053,435
47,1,person,319.0,357.0,"(319, 357)",198,14,440,700
47,2,person,466.0,257.0,"(466, 257)",372,0,560,514
47,7,person,992.0,233.0,"(992, 233)",935,34,1049,432
48,1,person,317.0,357.0,"(317, 357)",196,13,438,701
48,2,person,468.5,258.5,"(469, 258)",374,0,563,517
48,7,person,980.5,233.0,"(980, 233)",924,40,1037,426
49,1,person,316.5,358.0,"(316, 358)",195,13,438,703
49,2,person,472.0,258.5,"(472, 258)",378,0,566,517
49,7,person,969.0,240.0,"(969, 240)",908,35,1030,445
50,1,person,312.0,361.0,"(312, 361)",193,22,431,700
50,2,person,480.0,258.5,"(480, 259)",390,13,570,504
50,7,person,964.0,238.0,"(964, 238)",901,31,1027,445
51,1,person,308.0,368.0,"(308, 368)",189,28,427,708
51,2,person,486.0,258.5,"(486, 259)",396,15,576,502
51,7,person,960.5,234.0,"(961, 234)",899,33,1022,435
52,1,person,304.5,369.0,"(305, 369)",188,33,421,705
52,2,person,495.0,257.0,"(495, 257)",401,5,589,509
52,7,person,954.0,232.0,"(954, 232)",891,29,1017,435
53,1,person,303.5,369.0,"(304, 369)",188,35,419,703
53,2,person,497.5,257.0,"(498, 257)",402,2,593,512
53,7,person,951.5,231.0,"(952, 231)",887,27,1016,435
