frame_id,object_id,class,x,y,center,xmin,ymin,xmax,ymax
3,1,person,856.5,204.0,"(856, 204)",793,20,920,388
3,2,person,363.5,239.0,"(364, 239)",301,64,426,414
3,3,person,728.5,232.5,"(728, 233)",676,64,781,401
4,1,person,856.5,203.5,"(856, 204)",793,19,920,388
4,2,person,357.5,238.5,"(357, 239)",295,64,420,413
4,3,person,728.5,218.5,"(729, 219)",674,45,783,392
5,1,person,856.5,203.5,"(856, 203)",793,18,920,389
5,2,person,355.5,238.5,"(355, 238)",293,64,418,413
5,3,person,729.0,214.5,"(729, 214)",674,39,784,390
6,1,person,857.0,204.5,"(857, 204)",794,19,920,390
6,2,person,350.0,238.5,"(350, 239)",289,67,411,410
6,3,person,730.0,212.5,"(730, 212)",675,37,785,388
7,1,person,857.5,205.5,"(858, 206)",795,21,920,390
7,2,person,341.5,239.0,"(342, 239)",281,71,402,407
7,3,person,728.5,212.0,"(729, 212)",673,37,784,387
8,1,person,857.5,206.5,"(857, 207)",795,21,920,392
8,2,person,336.0,238.5,"(336, 239)",275,67,397,410
8,3,person,729.5,210.5,"(730, 211)",674,36,785,385
9,1,person,857.0,207.0,"(857, 207)",795,21,919,393
9,2,person,330.5,238.5,"(330, 238)",269,65,392,412
9,3,person,731.0,210.5,"(731, 210)",677,39,785,382
10,1,person,857.0,208.5,"(857, 209)",795,21,919,396
10,2,person,326.5,240.0,"(326, 240)",264,63,389,417
10,3,person,740.0,210.5,"(740, 211)",686,38,794,383
11,1,person,857.0,209.0,"(857, 209)",795,21,919,397
11,2,person,325.0,240.5,"(325, 240)",262,62,388,419
11,3,person,743.5,211.0,"(743, 211)",690,38,797,384
12,1,person,853.5,210.5,"(853, 210)",792,24,915,397
12,2,person,320.5,241.5,"(320, 242)",257,61,384,422
12,3,person,742.0,210.0,"(742, 210)",689,37,795,383
13,1,person,850.5,212.0,"(851, 212)",789,28,912,396
13,2,person,317.0,242.5,"(317, 242)",254,60,380,425
13,3,person,742.5,208.0,"(743, 208)",690,37,795,379
14,1,person,849.5,213.0,"(849, 213)",788,31,911,395
14,2,person,314.0,243.5,"(314, 244)",252,63,376,424
14,3,person,742.5,207.5,"(743, 208)",691,37,794,378
15,1,person,847.0,213.5,"(847, 213)",785,32,909,395
15,2,person,312.0,249.5,"(312, 249)",250,68,374,431
15,3,person,743.5,207.5,"(744, 207)",692,38,795,377
16,1,person,844.5,214.0,"(844, 214)",782,33,907,395
16,2,person,309.0,252.5,"(309, 253)",247,70,371,435
16,3,person,743.0,209.0,"(743, 209)",692,41,794,377
17,1,person,843.0,215.0,"(843, 215)",780,34,906,396
17,2,person,308.0,254.0,"(308, 254)",247,71,369,437
17,3,person,743.0,209.5,"(743, 209)",692,42,794,377
18,1,person,838.5,215.5,"(838, 215)",773,32,904,399
18,2,person,308.0,255.0,"(308, 255)",246,70,370,440
18,3,person,745.0,209.5,"(745, 210)",693,39,797,380
19,1,person,835.5,216.0,"(835, 216)",769,32,902,400
19,2,person,307.5,257.0,"(307, 257)",246,72,369,442
19,3,person,745.5,210.0,"(746, 210)",694,39,797,381
20,1,person,833.0,216.0,"(833, 216)",765,31,901,401
20,2,person,306.5,260.0,"(306, 260)",246,76,367,444
20,3,person,748.0,208.5,"(748, 208)",696,36,800,381
21,1,person,831.5,215.0,"(832, 215)",762,30,901,400
21,2,person,306.0,262.5,"(306, 262)",246,79,366,446
21,3,person,750.0,206.0,"(750, 206)",698,34,802,378
22,1,person,830.0,215.0,"(830, 215)",759,31,901,399
22,2,person,306.5,266.5,"(306, 266)",246,79,367,454
22,3,person,752.5,204.5,"(753, 204)",701,33,804,376
23,1,person,829.0,215.0,"(829, 215)",757,31,901,399
23,2,person,306.5,268.0,"(306, 268)",246,79,367,457
23,3,person,753.5,203.0,"(754, 203)",702,32,805,374
24,1,person,828.5,214.0,"(828, 214)",755,31,902,397
24,2,person,306.5,270.5,"(306, 270)",245,79,368,462
24,3,person,755.5,201.0,"(755, 201)",704,31,807,371
25,1,person,827.0,214.5,"(827, 215)",752,31,902,398
25,2,person,306.0,271.0,"(306, 271)",244,76,368,466
25,3,person,757.0,199.5,"(757, 199)",706,33,808,366
26,1,person,826.5,214.5,"(827, 215)",752,33,901,396
26,2,person,305.5,277.5,"(306, 277)",243,78,368,477
26,3,person,757.0,198.0,"(757, 198)",707,34,807,362
27,1,person,824.0,221.0,"(824, 221)",749,36,899,406
27,2,person,305.5,280.0,"(305, 280)",243,79,368,481
27,3,person,757.0,191.5,"(757, 191)",708,34,806,349
28,1,person,820.0,224.0,"(820, 224)",745,37,895,411
28,2,person,306.0,273.5,"(306, 274)",245,75,367,472
28,3,person,758.5,189.0,"(758, 189)",711,35,806,343
29,1,person,819.0,225.0,"(819, 225)",745,37,893,413
29,2,person,306.5,271.5,"(306, 271)",246,74,367,469
29,3,person,758.0,188.0,"(758, 188)",711,35,805,341
30,1,person,815.5,226.0,"(815, 226)",742,37,889,415
30,2,person,307.5,270.0,"(308, 270)",247,73,368,467
30,3,person,758.5,186.5,"(759, 186)",711,32,806,341
31,1,person,813.5,226.5,"(814, 227)",742,39,885,414
31,2,person,308.0,269.0,"(308, 269)",247,72,369,466
31,3,person,760.5,185.0,"(761, 185)",714,33,807,337
32,1,person,813.0,227.0,"(813, 227)",742,39,884,415
32,2,person,307.0,267.0,"(307, 267)",247,72,367,462
32,3,person,759.5,185.0,"(760, 185)",716,40,803,330
33,1,person,810.5,226.5,"(810, 226)",739,35,882,418
33,2,person,306.0,262.5,"(306, 263)",247,72,365,453
33,3,person,761.0,184.0,"(761, 184)",718,41,804,327
34,1,person,805.5,226.0,"(805, 226)",734,35,877,417
34,2,person,305.5,267.0,"(306, 267)",246,74,365,460
35,1,person,804.0,226.5,"(804, 226)",733,36,875,417
35,2,person,305.5,268.5,"(306, 269)",246,75,365,462
36,1,person,802.5,225.5,"(802, 225)",732,33,873,418
36,2,person,305.0,268.5,"(305, 269)",246,75,364,462
37,1,person,802.0,224.0,"(802, 224)",732,31,872,417
37,2,person,304.5,267.5,"(305, 267)",246,77,363,458
38,1,person,801.5,224.0,"(801, 224)",732,31,871,417
38,2,person,304.5,275.5,"(304, 276)",245,81,364,470
39,1,person,800.5,224.5,"(800, 224)",732,32,869,417
39,2,person,304.5,284.0,"(305, 284)",244,84,365,484
40,1,person,798.0,225.0,"(798, 225)",730,30,866,420
40,2,person,304.5,286.0,"(305, 286)",245,91,364,481
41,1,person,797.0,224.5,"(797, 224)",730,29,864,420
41,2,person,304.5,286.5,"(305, 287)",246,93,363,480
42,1,person,796.5,225.0,"(797, 225)",731,30,862,420
42,2,person,305.0,291.5,"(305, 291)",245,93,365,490
43,1,person,796.5,227.0,"(796, 227)",731,28,862,426
43,2,person,306.0,296.5,"(306, 296)",245,95,367,498
44,1,person,795.0,228.0,"(795, 228)",731,30,859,426
44,2,person,305.5,307.5,"(306, 308)",244,102,367,513
45,1,person,793.5,227.5,"(793, 227)",730,28,857,427
45,2,person,306.0,314.0,"(306, 314)",244,106,368,522
46,1,person,792.0,227.5,"(792, 228)",730,29,854,426
46,2,person,307.0,320.5,"(307, 320)",245,112,369,529
47,1,person,792.0,227.5,"(792, 228)",731,29,853,426
47,2,person,307.0,323.5,"(307, 323)",245,115,369,532
48,1,person,786.0,231.5,"(786, 232)",725,30,847,433
48,2,person,310.0,324.0,"(310, 324)",248,114,372,534
49,1,person,781.0,233.0,"(781, 233)",720,30,842,436
49,2,person,309.5,324.5,"(310, 324)",247,114,372,535
50,1,person,777.0,233.0,"(777, 233)",716,30,838,436
50,2,person,309.5,323.5,"(310, 324)",247,114,372,533
50,3,person,824.5,178.0,"(825, 178)",783,29,866,327
51,1,person,772.5,233.5,"(772, 233)",711,29,834,438
51,2,person,310.0,321.5,"(310, 322)",247,112,373,531
51,3,person,828.0,175.5,"(828, 176)",789,26,867,325
